Frequency (Hz)	Level (dB)
43.066406	-40.981590
86.132813	-42.075615
129.199219	-43.879272
172.265625	-44.991638
215.332031	-42.560112
258.398438	-40.849155
301.464844	-43.046604
344.531250	-45.582439
387.597656	-43.772530
430.664063	-27.128435
473.730469	-11.440424
516.796875	-12.058000
559.863281	-29.494671
602.929688	-39.026169
645.996094	-40.914951
689.062500	-38.659359
732.128906	-41.714531
775.195313	-46.844013
818.261719	-46.428493
861.328125	-50.958920
904.394531	-47.954235
947.460938	-24.935246
990.527344	-19.421173
1033.593750	-28.325520
1076.660156	-48.633686
1119.726563	-47.962479
1162.792969	-50.486519
1205.859375	-51.502758
1248.925781	-55.194126
1291.992188	-53.556217
1335.058594	-51.233597
1378.125000	-43.983303
1421.191406	-28.492630
1464.257813	-15.265829
1507.324219	-17.232077
1550.390625	-37.525352
1593.457031	-57.331833
1636.523438	-55.263767
1679.589844	-55.838356
1722.656250	-56.561710
1765.722656	-57.370586
1808.789063	-56.897057
1851.855469	-58.510052
1894.921875	-57.666912
1937.988281	-33.716682
1981.054688	-28.709011
2024.121094	-38.544716
2067.187500	-58.501030
2110.253906	-56.866661
2153.320313	-60.014454
2196.386719	-58.769276
2239.453125	-56.641068
2282.519531	-60.060902
2325.585938	-58.321491
2368.652344	-53.890621
2411.718750	-42.852852
2454.785156	-29.457157
2497.851563	-31.451721
2540.917969	-50.420731
2583.984375	-61.618389
2627.050781	-60.540844
2670.117188	-62.851658
2713.183594	-65.034073
2756.250000	-63.451874
2799.316406	-64.829643
2842.382813	-61.314777
2885.449219	-53.413158
2928.515625	-38.691456
2971.582031	-35.214901
3014.648438	-42.771473
3057.714844	-57.786755
3100.781250	-63.788448
3143.847656	-67.314201
3186.914063	-66.802452
3229.980469	-64.860115
3273.046875	-66.373711
3316.113281	-66.661537
3359.179688	-67.698860
3402.246094	-54.800926
3445.312500	-43.768356
3488.378906	-45.201569
3531.445313	-52.824997
3574.511719	-64.494629
3617.578125	-68.590408
3660.644531	-68.259644
3703.710938	-67.172890
3746.777344	-69.391502
3789.843750	-67.630753
3832.910156	-66.988663
3875.976563	-67.669380
3919.042969	-59.368435
3962.109375	-56.029781
4005.175781	-53.390236
4048.242188	-52.949528
4091.308594	-66.752869
4134.375000	-68.720917
4177.441406	-69.078773
4220.507813	-69.162544
4263.574219	-69.289169
4306.640625	-66.970200
4349.707031	-65.778870
4392.773438	-46.410225
4435.839844	-36.341686
4478.906250	-41.069366
4521.972656	-51.548931
4565.039063	-48.309444
4608.105469	-57.354759
4651.171875	-66.431206
4694.238281	-69.074295
4737.304688	-70.436081
4780.371094	-71.187431
4823.437500	-70.411858
4866.503906	-71.427460
4909.570313	-64.037239
4952.636719	-62.898289
4995.703125	-70.945099
5038.769531	-72.434280
5081.835938	-66.751190
5124.902344	-67.622887
5167.968750	-70.967842
5211.035156	-73.164139
5254.101563	-72.445938
5297.167969	-72.004890
5340.234375	-73.561836
5383.300781	-72.433685
5426.367188	-73.486259
5469.433594	-73.115517
5512.500000	-73.520424
5555.566406	-73.196297
5598.632813	-73.968376
5641.699219	-73.794273
5684.765625	-73.156830
5727.832031	-73.750763
5770.898438	-74.028938
5813.964844	-73.899376
5857.031250	-74.181770
5900.097656	-67.583542
5943.164063	-68.751968
5986.230469	-72.807556
6029.296875	-74.137016
6072.363281	-74.515289
6115.429688	-73.901482
6158.496094	-74.924294
6201.562500	-73.529190
6244.628906	-74.625450
6287.695313	-74.211845
6330.761719	-74.495560
6373.828125	-74.086784
6416.894531	-73.772461
6459.960938	-74.474457
6503.027344	-74.275612
6546.093750	-75.574417
6589.160156	-74.103340
6632.226563	-74.730362
6675.292969	-75.021790
6718.359375	-73.967682
6761.425781	-73.799057
6804.492188	-73.499908
6847.558594	-71.544151
6890.625000	-59.625874
6933.691406	-59.446777
6976.757813	-71.815704
7019.824219	-74.434479
7062.890625	-72.035553
7105.957031	-72.223518
7149.023438	-72.955574
7192.089844	-72.619827
7235.156250	-72.893814
7278.222656	-73.084862
7321.289063	-73.773102
7364.355469	-69.143982
7407.421875	-64.605942
7450.488281	-71.279686
7493.554688	-73.206184
7536.621094	-72.573875
7579.687500	-73.525055
7622.753906	-73.913460
7665.820313	-74.662529
7708.886719	-72.396362
7751.953125	-72.738823
7795.019531	-71.967247
7838.085938	-69.531593
7881.152344	-61.596489
7924.218750	-63.740505
7967.285156	-73.968361
8010.351563	-76.297516
8053.417969	-74.918579
8096.484375	-75.178795
8139.550781	-75.764076
8182.617188	-76.518127
8225.683594	-75.758324
8268.750000	-77.502151
8311.816406	-75.888802
8354.882813	-71.513092
8397.949219	-67.415062
8441.015625	-74.050247
8484.082031	-76.981560
8527.148438	-76.827362
8570.214844	-77.512283
8613.281250	-77.056244
8656.347656	-76.604599
8699.414063	-76.873940
8742.480469	-77.635216
8785.546875	-76.652054
8828.613281	-77.097198
8871.679688	-76.377457
8914.746094	-75.344612
8957.812500	-77.590607
9000.878906	-77.719490
9043.945313	-76.907516
9087.011719	-78.081261
9130.078125	-77.457649
9173.144531	-76.966805
9216.210938	-77.809677
9259.277344	-77.462944
9302.343750	-77.661171
9345.410156	-77.285728
9388.476563	-75.561516
9431.542969	-78.019058
9474.609375	-78.234856
9517.675781	-77.978516
9560.742188	-77.884232
9603.808594	-78.275955
9646.875000	-78.151855
9689.941406	-78.103569
9733.007813	-76.710342
9776.074219	-75.625771
9819.140625	-78.042412
9862.207031	-76.395630
9905.273438	-77.682419
9948.339844	-78.281425
9991.406250	-78.429893
10034.472656	-78.653030
10077.539063	-78.608292
10120.605469	-78.387863
10163.671875	-78.720932
10206.738281	-78.772751
10249.804688	-78.380951
10292.871094	-78.728592
10335.937500	-78.904167
10379.003906	-78.317696
10422.070313	-79.103958
10465.136719	-78.626312
10508.203125	-78.755165
10551.269531	-78.823578
10594.335938	-78.800354
10637.402344	-79.133385
10680.468750	-78.659920
10723.535156	-79.078133
10766.601563	-78.720329
10809.667969	-78.940720
10852.734375	-76.973427
10895.800781	-78.703003
10938.867188	-78.885033
10981.933594	-79.433304
11025.000000	-78.828354
11068.066406	-79.255379
11111.132813	-79.197136
11154.199219	-79.439079
11197.265625	-78.945236
11240.332031	-79.579704
11283.398438	-79.244095
11326.464844	-78.809349
11369.531250	-78.672218
11412.597656	-79.351860
11455.664063	-79.590652
11498.730469	-79.414467
11541.796875	-79.611435
11584.863281	-79.323097
11627.929688	-79.452065
11670.996094	-79.473007
11714.062500	-79.800735
11757.128906	-79.445007
11800.195313	-78.299110
11843.261719	-74.109695
11886.328125	-77.796692
11929.394531	-79.752014
11972.460938	-79.503807
12015.527344	-79.370499
12058.593750	-79.800865
12101.660156	-79.895897
12144.726563	-79.566368
12187.792969	-80.049629
12230.859375	-79.728767
12273.925781	-80.165581
12316.992188	-78.155258
12360.058594	-79.073013
12403.125000	-79.562981
12446.191406	-80.439102
12489.257813	-79.819687
12532.324219	-79.913628
12575.390625	-79.939484
12618.457031	-80.090363
12661.523438	-80.146957
12704.589844	-79.984222
12747.656250	-80.039101
12790.722656	-80.296608
12833.789063	-79.241653
12876.855469	-80.160767
12919.921875	-80.135307
12962.988281	-80.161598
13006.054688	-80.162910
13049.121094	-80.445541
13092.187500	-79.983459
13135.253906	-80.409447
13178.320313	-80.253777
13221.386719	-80.277962
13264.453125	-80.489136
13307.519531	-79.927574
13350.585938	-80.735451
13393.652344	-80.261032
13436.718750	-80.649925
13479.785156	-80.481720
13522.851563	-80.214027
13565.917969	-80.564980
13608.984375	-80.542137
13652.050781	-80.744034
13695.117188	-80.332138
13738.183594	-80.818008
13781.250000	-80.352875
13824.316406	-80.451897
13867.382813	-80.329369
13910.449219	-81.002495
13953.515625	-80.252739
13996.582031	-81.034187
14039.648438	-80.545158
14082.714844	-80.745636
14125.781250	-80.647728
14168.847656	-80.793358
14211.914063	-80.835091
14254.980469	-80.647659
14298.046875	-80.672951
14341.113281	-80.618912
14384.179688	-80.858841
14427.246094	-80.898018
14470.312500	-80.672447
14513.378906	-80.332329
14556.445313	-80.567337
14599.511719	-79.796867
14642.578125	-79.224121
14685.644531	-79.649429
14728.710938	-79.129135
14771.777344	-79.541733
14814.843750	-80.798645
14857.910156	-79.841133
14900.976563	-80.817009
14944.042969	-80.470413
14987.109375	-81.060577
15030.175781	-81.267822
15073.242188	-80.767593
15116.308594	-81.137764
15159.375000	-81.160500
15202.441406	-80.969734
15245.507813	-81.148949
15288.574219	-81.121513
15331.640625	-81.082123
15374.707031	-81.281052
15417.773438	-81.192322
15460.839844	-81.206810
15503.906250	-81.189224
15546.972656	-81.256142
15590.039063	-81.121460
15633.105469	-81.577187
15676.171875	-80.916969
15719.238281	-81.527405
15762.304688	-81.338142
15805.371094	-80.865021
15848.437500	-81.424179
15891.503906	-81.127289
15934.570313	-81.496323
15977.636719	-81.340759
16020.703125	-81.482460
16063.769531	-81.050331
16106.835938	-81.478928
16149.902344	-81.396523
16192.968750	-81.152344
16236.035156	-81.503944
16279.101563	-81.492752
16322.167969	-81.193642
16365.234375	-81.266083
16408.300781	-81.753502
16451.367188	-81.215446
16494.433594	-81.454620
16537.500000	-81.676521
16580.566406	-81.492691
16623.632813	-81.322235
16666.699219	-81.784538
16709.765625	-81.371262
16752.832031	-81.607742
16795.898438	-81.162354
16838.964844	-81.793617
16882.031250	-81.464325
16925.097656	-81.722084
16968.164063	-81.257210
17011.230469	-81.438293
17054.296875	-81.689064
17097.363281	-81.496490
17140.429688	-81.804199
17183.496094	-81.496971
17226.562500	-81.862244
17269.628906	-81.705574
17312.695313	-81.775330
17355.761719	-81.822403
17398.828125	-81.621521
17441.894531	-81.915115
17484.960938	-81.789696
17528.027344	-81.623436
17571.093750	-81.928680
17614.160156	-81.679329
17657.226563	-81.764160
17700.292969	-82.234665
17743.359375	-81.710190
17786.425781	-81.832481
17829.492188	-81.728050
17872.558594	-81.822639
17915.625000	-81.780777
17958.691406	-82.039314
18001.757813	-81.813576
18044.824219	-81.944054
18087.890625	-81.737465
18130.957031	-82.142891
18174.023438	-81.787239
18217.089844	-81.998520
18260.156250	-81.735367
18303.222656	-82.085548
18346.289063	-81.966873
18389.355469	-81.975327
18432.421875	-81.821617
18475.488281	-82.088875
18518.554688	-81.979385
18561.621094	-81.861923
18604.687500	-82.213913
18647.753906	-81.786339
18690.820313	-82.290710
18733.886719	-81.816238
18776.953125	-82.095467
18820.019531	-82.024902
18863.085938	-82.080383
18906.152344	-82.028671
18949.218750	-81.988197
18992.285156	-82.051018
19035.351563	-82.147141
19078.417969	-82.006958
19121.484375	-82.155296
19164.550781	-81.943222
19207.617188	-82.200516
19250.683594	-81.810036
19293.750000	-82.267311
19336.816406	-82.326447
19379.882813	-81.947975
19422.949219	-82.056427
19466.015625	-82.072495
19509.082031	-82.291763
19552.148438	-82.071083
19595.214844	-82.112236
19638.281250	-82.210747
19681.347656	-82.077057
19724.414063	-82.117378
19767.480469	-82.199127
19810.546875	-82.153015
19853.613281	-82.250511
19896.679688	-82.039841
19939.746094	-82.330666
19982.812500	-82.037712
20025.878906	-82.268295
20068.945313	-82.298126
20112.011719	-82.087318
20155.078125	-82.262291
20198.144531	-82.103584
20241.210938	-82.308319
20284.277344	-82.358490
20327.343750	-82.050385
20370.410156	-82.417068
20413.476563	-82.183411
20456.542969	-82.079414
20499.609375	-82.459381
20542.675781	-82.174919
20585.742188	-82.146202
20628.808594	-82.330742
20671.875000	-82.216949
20714.941406	-82.253807
20758.007813	-82.416084
20801.074219	-82.181480
20844.140625	-82.273544
20887.207031	-82.361763
20930.273438	-82.159302
20973.339844	-82.391098
21016.406250	-82.297371
21059.472656	-82.201157
21102.539063	-82.383591
21145.605469	-82.265854
21188.671875	-82.272026
21231.738281	-82.346222
21274.804688	-82.307510
21317.871094	-82.300644
21360.937500	-82.372849
21404.003906	-82.281006
21447.070313	-82.390816
21490.136719	-82.257553
21533.203125	-82.383194
21576.269531	-82.343864
21619.335938	-82.333740
21662.402344	-82.300705
21705.468750	-82.370590
21748.535156	-82.325798
21791.601563	-82.335068
21834.667969	-82.334724
21877.734375	-82.357178
21920.800781	-82.311104
21963.867188	-82.382568
22006.933594	-82.317940
